time_s,current_A,soc_true,soc_ekf,ocv_V,v_rc_V,v_terminal_V
1.083000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.847282297650681748e-01,3.857041347449588375e+00,6.228430657751919848e-03,3.850812916791836571e+00
1.084000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.849445606252700713e-01,3.857041347449588375e+00,6.074650156886594876e-03,3.850966697292701912e+00
1.085000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.851565027736794322e-01,3.857041347449588375e+00,5.924666510115961932e-03,3.851116680939472570e+00
1.086000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.853641203267599513e-01,3.857041347449588375e+00,5.778385972778406904e-03,3.851262961476809910e+00
1.087000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.855674778768275690e-01,3.857041347449588375e+00,5.635717114776258967e-03,3.851405630334812091e+00
1.088000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.857666403848074799e-01,3.857041347449588375e+00,5.496570763429001541e-03,3.851544776686159466e+00
1.089000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.859616730799584561e-01,3.857041347449588375e+00,5.360859947737444883e-03,3.851680487501850880e+00
1.090000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.861526413662700552e-01,3.857041347449588375e+00,5.228499844024019245e-03,3.851812847605564194e+00
1.091000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.863396107351142694e-01,3.857041347449588375e+00,5.099407722915216649e-03,3.851941939726672981e+00
1.092000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.865226466839080333e-01,3.857041347449588375e+00,4.973502897633040251e-03,3.852067844551955389e+00
1.093000000000000000e+03,0.000000000000000000e+00,7.943236714975979718e-01,7.867018146404014534e-01,3.857041347449588375e+00,4.850706673563138192e-03,3.852190640776025354e+00
